produit_animation;tier;usages_cumules;props;statut;clip_source;alias_catalogue;ids_catalogue;notes
Squat haltères / goblet;DONE;23;haltères;EN LIGNE;Mixamo Air Squat Bent Arms;Dumbbell Squat|Goblet Squat|Bodyweight Squat|Dumbbell Squat To A Bench|Chair Squat|Squats - With Bands|Freehand Jump Squat;offline-546|offline-560|offline-529|offline-547|offline-537|offline-642|offline-553;goblet = 1 haltère tenu devant
Pompes;DONE;18;aucun;EN LIGNE;Mixamo Push Up;Pushups|Incline Push-Up|Decline Push-Up|Push-Up Wide|Push-Ups - Close Triceps Position|Incline Push-Up Close-Grip|Plyo Push-up|Incline Push-Up Depth Jump;offline-266|offline-242|offline-221|offline-263|offline-846|offline-831|offline-261|offline-243;variantes incliné/décliné/large alias
Soulevé de terre jambes tendues haltères;DONE;10;haltères;EN LIGNE ⚠️;Mixamo Lifting Object;Stiff-Legged Dumbbell Deadlift;offline-397;genoux un peu fléchis, à réévaluer
Dead Bug;DONE;10;aucun;EN LIGNE ⚠️;Mixamo Bicycle Crunch;Dead Bug;offline-026;ressemble plutôt à un crunch, à réévaluer
Planche;DONE;8;aucun;EN LIGNE;Mixamo Plank;Plank;offline-060;
Curl haltères alterné;DONE;4;haltères;EN LIGNE;Mixamo Bicep Curl;Dumbbell Alternate Bicep Curl|Dumbbell Bicep Curl;offline-128|offline-129;validé téléphone
Tractions;P1;27;barre de traction (prop à créer);CLIP MANQUANT;;Pullups|Chin-Up|Weighted Pull Ups|Band Assisted Pull-Up|Wide-Grip Rear Pull-Up|Scapular Pull-Up;offline-429|offline-411|offline-440|offline-406|offline-443|offline-796;Mixamo Hang Hop Up REJETÉ (escalade). chin-up = variante prise supination
Fentes;P1;27;haltères ou poids du corps;CLIP MANQUANT;;Dumbbell Lunges|Dumbbell Rear Lunge|Bodyweight Walking Lunge|Split Squats|Split Squat with Dumbbells|Barbell Walking Lunge|Smith Single-Leg Split Squat;offline-543|offline-544|offline-530|offline-392|offline-637|offline-523|offline-628;avant/arrière/marchée = même produit
Développé couché barre;P1;25;barre + banc;CLIP MANQUANT;;Barbell Bench Press - Medium Grip|Bench Press - Powerlifting|Close-Grip Barbell Bench Press|Machine Bench Press|Smith Machine Bench Press|Leverage Chest Press;offline-198|offline-805|offline-815|offline-254|offline-270|offline-250;machines en alias (même mouvement)
Soulevé de terre roumain (RDL);P1;21;barre;CLIP MANQUANT;;Romanian Deadlift|Smith Machine Stiff-Legged Deadlift|Band Good Morning;offline-379|offline-388|offline-330;EXERCICE TOP 5
Développé couché haltères;P1;20;haltères + banc;CLIP MANQUANT;;Dumbbell Bench Press|Dumbbell Bench Press with Neutral Grip;offline-225|offline-226;EXERCICE #1 des usages
Élévations latérales;P1;19;haltères;CLIP MANQUANT;;Side Lateral Raise|Seated Side Lateral Raise|Lateral Raise - With Bands|Cable Seated Lateral Raise;offline-761|offline-755|offline-723|offline-680;Mixamo Front Raises REJETÉ
Rowing barre penché;P1;19;barre;CLIP MANQUANT;;Bent Over Barbell Row|Reverse Grip Bent-Over Rows|T-Bar Row with Handle|Lying T-Bar Row|Smith Machine Bent Over Row;offline-473|offline-493|offline-502|offline-485|offline-498;
Développé épaules haltères;P1;18;haltères;CLIP MANQUANT;;Dumbbell Shoulder Press|Standing Dumbbell Press|Standing Alternating Dumbbell Press|Shoulder Press - With Bands;offline-699|offline-774|offline-771|offline-758;Mixamo Front Raises REJETÉ (mauvais plan)
Soulevé de terre barre;P1;18;barre;CLIP MANQUANT;;Barbell Deadlift|Trap Bar Deadlift;offline-447|offline-653;trap bar en alias
Relevé de mollets debout;P1;17;haltères ou poids du corps;CLIP MANQUANT;;Standing Calf Raises|Standing Dumbbell Calf Raise|Calf Raises - With Bands|Calf Press|Calf Press On The Leg Press Machine;offline-192|offline-193|offline-175|offline-172|offline-173;
Pont fessier (glute bridge);P1;16;aucun;CLIP MANQUANT;;Butt Lift (Bridge)|Single Leg Glute Bridge|Hip Lift with Band|Smith Machine Hip Raise|Barbell Glute Bridge;offline-308|offline-325|offline-313|offline-075|offline-306;variantes 1 jambe/bande alias
